term,tf,df
ink detection,174,159
github com,114,93
https github,113,92
looks like,110,107
https www,105,98
hari seldon,94,74
ash2txt org,81,48
dl ash2txt,80,47
http dl,78,46
don know,67,67
entries value,63,3
https scrollprize,60,57
1789 entries,60,2
volume cartographer,55,49
seldon ben,54,54
scrollprize org,49,47
kaggle com,46,39
www kaggle,46,39
vesuvius challenge,45,37
scroll1 volpkg,42,36
channels 1079907749569237093,41,41
com channels,41,41
discord com,41,41
https discord,41,41
open source,40,35
seldon uploads,40,23
volpkg paths,39,30
don think,38,37
look like,38,37
org hari,38,21
scrolls scroll1,37,31
training data,36,35
surface volume,35,27
makes sense,34,33
org scrolls,34,26
scroll data,33,31
cross section,33,29
make sense,32,32
surface volumes,31,28
finished paths,31,14
paths scroll1,31,14
team finished,31,14
uploads team,31,14
com educelab,29,28
let know,29,26
youtube com,28,28
kaggle data,28,23
ancient greek,26,22
challenge ink,26,21
grand prize,25,25
feel free,24,24
fragment data,24,22
www youtube,23,23
com watch,22,22
educelab volume,22,22
google com,22,22
com competitions,22,17
competitions vesuvius,22,17
ve seen,21,21
ve got,20,20
tif files,20,18
detection discussion,20,15
1079907749569237093 1079907750265499772,19,19
com code,19,19
feel like,19,19
detect ink,19,18
brett olsen,18,18
data set,18,18
moshe levy,18,18
don want,18,17
surface normal,18,13
https docs,17,17
ink id,17,17
scrollprize substack,17,17
segmentation algorithm,17,17
substack com,17,17
segmentation team,17,16
casey handmer,16,16
docs google,16,16
good idea,16,16
monster segment,16,16
cross sections,16,15
ink signal,16,15
com khartesviewer,15,15
haven seen,15,15
khartesviewer khartes,15,15
ll try,15,15
machine learning,15,15
herculaneum scrolls,15,13
automatic segmentation,14,14
just need,14,14
07 01,14,2
2023 07,14,2
blob main,13,13
does look,13,13
herculaneum papyri,13,13
horizontal vertical,13,13
make sure,13,13
raw data,13,13
train model,13,13
ve tried,13,13
quite bit,13,12
segment viewer,13,11
segmentation tooling,13,10
volume viewer,13,10
point cloud,13,9
image image,13,4
campfire scroll,12,12
en wikipedia,12,12
https en,12,12
ll look,12,12
long time,12,12
ok thanks,12,12
optical flow,12,12
papyrus fibers,12,12
really hard,12,12
tif file,12,12
ve working,12,12
wikipedia org,12,12
ground truth,12,11
papyrus surface,12,11
wood tar,12,11
com spelufo,12,10
iron gall,12,9
air gap,12,8
volcart info,12,2
arxiv org,11,11
data server,11,11
https arxiv,11,11
https twitter,11,11
https youtu,11,11
org wiki,11,11
training set,11,11
twitter com,11,11
carbon ink,11,10
image data,11,10
scroll viewer,11,10
segmentation line,11,10
spelufo vesuvius,11,9
voxel size,11,8
gum arabic,11,7
center scroll,10,10
code https,10,10
good luck,10,10
kaggle fragments,10,10
maybe just,10,10
org abs,10,10
post processing,10,10
pretty sure,10,10
read scrolls,10,10
sounds like,10,10
things like,10,10
ink labels,10,9
gall ink,10,8
truth set,10,8
able read,9,9
blog post,9,9
column line,9,9
data just,9,9
does know,9,9
don really,9,9
fair bit,9,9
hard tell,9,9
just want,9,9
left right,9,9
light source,9,9
looking forward,9,9
parts scroll,9,9
think ll,9,9
ve using,9,9
visual inspection,9,9
των ομοιων,9,9
centre scroll,9,8
educelab scrolls,9,8
hard say,9,8
ink ink,9,8
obj files,9,8
phase contrast,9,8
edge detection,9,6
1079907749569237093 1084586948708008056,8,8
data ve,8,8
deep learning,8,8
doesn work,8,8
don need,8,8
good point,8,8
high density,8,8
image processing,8,8
just like,8,8
just wanted,8,8
just wondering,8,8
kaggle competition,8,8
little bit,8,8
ll need,8,8
long term,8,8
manual segmentation,8,8
middle scroll,8,8
outside scroll,8,8
quick question,8,8
ray data,8,8
scroll2 volpkg,8,8
