bigram,n11_papy_and_term,n01_gen_and_term,n10_papy_no_term,n00_gen_no_term,p_papy_docs,p_gen_docs,mi_bits
ink detect,5,146,1537,6132,0.197187,0.802813,0.003266322012791219
τι των,7,0,1535,6278,0.197187,0.802813,0.00192331128806167
hari seldon,0,56,1542,6222,0.197187,0.802813,0.0019195264006472991
seldon ben,0,54,1542,6224,0.197187,0.802813,0.0018411563909751503
column line,8,1,1534,6277,0.197187,0.802813,0.0018291061038117095
surfac volum,0,50,1542,6228,0.197187,0.802813,0.0016848659320780103
αλλο τι,6,0,1536,6278,0.197187,0.802813,0.0016360086635013528
των κατα,6,0,1536,6278,0.197187,0.802813,0.0016360086635013528
greek text,7,1,1535,6277,0.197187,0.802813,0.0015607163823512424
use space,7,1,1535,6277,0.197187,0.802813,0.0015607163823512424
cross section,0,43,1542,6235,0.197187,0.802813,0.0014130276035030167
tri deciph,5,0,1537,6278,0.197187,0.802813,0.0013508519455280353
κατα μουσικην,5,0,1537,6278,0.197187,0.802813,0.0013508519455280353
ου μην,5,0,1537,6278,0.197187,0.802813,0.0013508519455280353
miss letter,6,1,1536,6277,0.197187,0.802813,0.0012965528650394575
train data,0,37,1542,6241,0.197187,0.802813,0.0011821232376600448
better imag,4,0,1538,6278,0.197187,0.802813,0.0010686294777775879
think read,4,0,1538,6278,0.197187,0.802813,0.0010686294777775879
περ αλλο,4,0,1538,6278,0.197187,0.802813,0.0010686294777775879
ancient greek,11,10,1531,6268,0.197187,0.802813,0.0010639221826937932
hard read,5,1,1537,6277,0.197187,0.802813,0.0010378587782874206
των ομοιων,6,3,1536,6275,0.197187,0.802813,0.0008952296982757951
tif file,0,28,1542,6250,0.197187,0.802813,0.0008408734740849583
volum cartograph,0,28,1542,6250,0.197187,0.802813,0.0008408734740849583
make sens,23,42,1519,6236,0.197187,0.802813,0.0008401265769961415
herculaneum papyri,7,5,1535,6273,0.197187,0.802813,0.0008366236010450214
και των,5,2,1537,6276,0.197187,0.802813,0.0008326605296922066
announc page,3,0,1539,6278,0.197187,0.802813,0.0007906962239124604
ct imag,3,0,1539,6278,0.197187,0.802813,0.0007906962239124604
didn't use,3,0,1539,6278,0.197187,0.802813,0.0007906962239124604
end line,3,0,1539,6278,0.197187,0.802813,0.0007906962239124604
good resourc,3,0,1539,6278,0.197187,0.802813,0.0007906962239124604
letter frequenc,3,0,1539,6278,0.197187,0.802813,0.0007906962239124604
papyrus cost,3,0,1539,6278,0.197187,0.802813,0.0007906962239124604
pretti certain,3,0,1539,6278,0.197187,0.802813,0.0007906962239124604
read ink,3,0,1539,6278,0.197187,0.802813,0.0007906962239124604
scroll napl,3,0,1539,6278,0.197187,0.802813,0.0007906962239124604
subscript iota,3,0,1539,6278,0.197187,0.802813,0.0007906962239124604
word end,3,0,1539,6278,0.197187,0.802813,0.0007906962239124604
word use,3,0,1539,6278,0.197187,0.802813,0.0007906962239124604
ημιν πι,3,0,1539,6278,0.197187,0.802813,0.0007906962239124604
μην προχειρως,3,0,1539,6278,0.197187,0.802813,0.0007906962239124604
μουσικην οι,3,0,1539,6278,0.197187,0.802813,0.0007906962239124604
οὐ μὴν,3,0,1539,6278,0.197187,0.802813,0.0007906962239124604
προχειρως γε,3,0,1539,6278,0.197187,0.802813,0.0007906962239124604
ἄλλο τι,3,0,1539,6278,0.197187,0.802813,0.0007906962239124604
epsilon sigma,4,1,1538,6277,0.197187,0.802813,0.0007865439431704111
open access,4,1,1538,6277,0.197187,0.802813,0.0007865439431704111
πι τε,4,1,1538,6277,0.197187,0.802813,0.0007865439431704111
feel free,0,24,1542,6254,0.197187,0.802813,0.0006920121054191875
fragment data,0,24,1542,6254,0.197187,0.802813,0.0006920121054191875
phase contrast,5,3,1537,6275,0.197187,0.802813,0.0006802341122857005
data set,0,23,1542,6255,0.197187,0.802813,0.0006551608905005325
kaggl data,0,23,1542,6255,0.197187,0.802813,0.0006551608905005325
segment algorithm,0,22,1542,6256,0.197187,0.802813,0.0006184791642344019
ancient histori,3,1,1539,6277,0.197187,0.802813,0.0005457723633163405
clearer imag,3,1,1539,6277,0.197187,0.802813,0.0005457723633163405
column text,3,1,1539,6277,0.197187,0.802813,0.0005457723633163405
good question,3,1,1539,6277,0.197187,0.802813,0.0005457723633163405
greek manuscript,3,1,1539,6277,0.197187,0.802813,0.0005457723633163405
line word,3,1,1539,6277,0.197187,0.802813,0.0005457723633163405
make progress,3,1,1539,6277,0.197187,0.802813,0.0005457723633163405
perseus philolog,3,1,1539,6277,0.197187,0.802813,0.0005457723633163405
text time,3,1,1539,6277,0.197187,0.802813,0.0005457723633163405
1st centuri,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
abbrevi end,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
absorpt use,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
abstract word,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
academ venu,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
altern read,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
approxim letter,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
attempt read,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
bare legibl,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
bit weird,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
bit word,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
charact place,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
charact ἄλλο,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
clear theta,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
context publish,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
convinc abbrevi,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
destroy lot,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
dialect chao,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
